gene_id	s001_Line1_0g_repeat	s002_Line1_0g_repeat	s003_Line1_0g_repeat	s004_Line1_1g_repeat	s005_Line1_1g_repeat	s006_Line1_1g_repeat	s007_Line1_ground_repeat	s008_Line1_ground_repeat	s009_Line1_ground_repeat
ENSG00000010278	166	172	343	152	259	306	238	189	319
ENSG00000010282	3	0	1	14	26	2	31	42	14
ENSG00000010292	447	748	1246	860	1129	1037	1516	1218	1795
ENSG00000010295	271	475	705	299	748	451	413	477	694
ENSG00000010310	44	146	98	81	145	54	76	58	28
ENSG00000010318	177	349	370	257	458	469	288	386	383
ENSG00000010319	8	3	28	8	10	3	35	26	46
ENSG00000010322	1894	3084	4531	1681	4857	3160	3011	2453	4177
ENSG00000010327	0	0	18	8	0	7	0	12	0
ENSG00000010361	120	296	319	103	291	244	419	271	397
ENSG00000010379	0	12	12	3	0	0	24	12	15
ENSG00000010404	508	659	1562	1401	1063	1528	761	748	709
ENSG00000010438	0	0	0	0	0	0	0	0	13
ENSG00000010539	368	612	579	372	578	511	429	333	601
ENSG00000010610	6	54	35	0	35	0	3	27	34
ENSG00000010626	110	65	208	120	142	144	135	144	153
ENSG00000010671	1	11	39	14	15	17	0	0	0
ENSG00000010704	0	2	7	14	0	9	5	0	5
ENSG00000010803	741	1334	1697	1369	2260	1914	3338	2609	3763
ENSG00000010810	686	1050	1446	865	1481	1629	1682	1266	1726
ENSG00000010818	62	155	332	97	204	112	253	177	249
ENSG00000010932	9	4	2	0	18	1	18	13	146
ENSG00000011007	1179	1455	2688	1512	2907	2309	2594	1744	3368
ENSG00000011009	2407	3454	4591	2900	5332	4853	3133	2608	4209
ENSG00000011021	330	419	801	380	757	655	1020	542	927
ENSG00000011028	741	1048	1631	564	1534	996	2234	1444	2471
ENSG00000011052	0	0	0	0	0	0	0	0	0
ENSG00000011083	0	0	1	0	0	2	0	0	0
ENSG00000011105	95	137	218	186	360	278	213	288	380
ENSG00000011114	337	445	779	396	658	456	802	585	894
